Formula,Name,IUPAC Standard InChIKey,EA_,IE_,SMILES,EA,IE
C28H16,"Anthra[1,2-e]acephenanthrylene",MPPRFVATAIGMDS-UHFFFAOYSA-N,,6.84,C1=CC=C2C=C3C(=CC2=C1)C=CC4=C3C5=CC=CC6=C5C4=CC7=CC=CC=C67,1.412359744,6.419401432
C28H16,"3,6,9,12-Tetrahydrotetracyclopenta[def,jkl,pqr,vwx]tetraphenylene",ZLPVOQBQQUKNPL-UHFFFAOYSA-N,,,,-,-
C28H16,"Benzo[de]naphtho[3,2,1-mn]naphthacene",LJCBBDQFUFHQPW-UHFFFAOYSA-N,,,,1.614455841,5.901059093
C28H16,"Benzo[fg]naphtho[1,2,3-op]naphthacene",GNCHMTPNWROHDF-UHFFFAOYSA-N,,,,0.921446093,6.578667415
C28H16,"Benzo[b]naphtho[8,1,2-pqr]chrysene",ZTIZPCVOHQVKLA-UHFFFAOYSA-N,,,,1.058671166,6.418911634
C28H16,"Benzo[c]naphtho[8,1,2-ghi]chrysene",IQMGJFVPPIAVQA-UHFFFAOYSA-N,,,C1=CC=C2C(=C1)C=CC3=C2C4=C(C=C3)C5=CC=CC6=C5C7=C(C=CC=C74)C=C6,0.864683947,6.598640289
C28H16,"Benzo(a)naphtho(8,1,2-cde)naphthacene",YEVOPXRNZORJGM-UHFFFAOYSA-N,,,C1=CC=C2C=C3C4=C5C(=CC3=CC2=C1)C6=CC=CC=C6C7=CC=CC(=C75)C=C4,1.24054949,6.31485677
C28H16,"Benzo[a]naphtho[8,1,2-lmn]naphthacene",CMEDUXLBSGSJMA-UHFFFAOYSA-N,,,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C5=C6C(=C4)C=CC7=C6C(=CC=C7)C=C5,1.248467891,6.312434991
C28H16,"Phenanthro[9,10,1-qra]naphthacene",GYJIQUGZJLUVPM-UHFFFAOYSA-N,,,,1.296359251,6.235536705
C28H16,"Benzo[mno]naphtho[1,2-c]chrysene",DKMOAGLLCMLTOC-UHFFFAOYSA-N,,,,1.105474086,6.434122583
C28H16,"Benzo[mno]naphtho[2,1-c]chrysene",HVEKTYPJDJCZQH-UHFFFAOYSA-N,,,,1.055841222,6.432462712
C28H16,"Phenanthro[1,2,3,4-def]chrysene",XPTDLICQJSFQHQ-UHFFFAOYSA-N,,,,1.049092894,6.414421819
